minP,t,eps,NMI,ARI
5,5,0.75,0.764879,0.853178
10,5,0.75,0.773661,0.854327
15,5,0.75,0.821546,0.905225
5,10,0.75,0.759867,0.850939
10,10,0.75,0.768259,0.851581
15,10,0.75,0.828707,0.909774
5,15,0.75,0.76957,0.855083
10,15,0.75,0.771229,0.853956
15,15,0.75,0.778999,0.855086
5,5,1.0,0.639532,0.596732
10,5,1.0,0.646223,0.607414
15,5,1.0,0.646784,0.612588
5,10,1.0,0.649174,0.596834
10,10,1.0,0.644244,0.597622
15,10,1.0,0.782503,0.858415
5,15,1.0,0.647679,0.592661
10,15,1.0,0.642587,0.59809
15,15,1.0,0.639512,0.598138
5,5,1.25,0.8267,0.915839
10,5,1.25,0.648032,0.60699
15,5,1.25,0.85567,0.926544
5,10,1.25,0.655751,0.578872
10,10,1.25,0.644435,0.589873
15,10,1.25,0.646118,0.591176
5,15,1.25,0.654746,0.576547
10,15,1.25,0.644474,0.589652
15,15,1.25,0.649361,0.590248
5,5,1.5,0.651618,0.588684
10,5,1.5,0.637469,0.590164
15,5,1.5,0.640033,0.596372
5,10,1.5,0.659286,0.564222
10,10,1.5,0.647428,0.573757
15,10,1.5,0.648338,0.589134
5,15,1.5,0.654612,0.571108
10,15,1.5,0.647185,0.571064
15,15,1.5,0.646795,0.57284
5,5,2.0,0.654437,0.563474
10,5,2.0,0.646626,0.572325
15,5,2.0,0.644451,0.572794
5,10,2.0,0.641741,0.569579
10,10,2.0,0.632178,0.569451
15,10,2.0,0.642441,0.568816
5,15,2.0,0.663701,0.558292
10,15,2.0,0.636282,0.557286
15,15,2.0,0.630507,0.558205
5,5,3.0,0.180733,0.059344
10,5,3.0,0.531577,0.437389
15,5,3.0,0.198296,0.131173
5,10,3.0,0.159918,0.046897
10,10,3.0,0.222271,0.129511
15,10,3.0,0.133111,0.052646
5,15,3.0,0.522402,0.414792
10,15,3.0,0.15354,0.051083
15,15,3.0,0.128698,0.051187
5,5,4.0,0.126263,0.03677
10,5,4.0,0.129579,0.04242
15,5,4.0,0.128139,0.050703
5,10,4.0,0.10326,0.0272
10,10,4.0,0.116447,0.034851
15,10,4.0,0.120405,0.041499
5,15,4.0,0.120618,0.031832
10,15,4.0,0.115588,0.034017
15,15,4.0,0.113614,0.038242
5,5,5.0,0.120985,0.033208
10,5,5.0,0.139062,0.039695
15,5,5.0,0.116431,0.039578
5,10,5.0,0.101456,0.026381
10,10,5.0,0.114051,0.032359
15,10,5.0,0.104767,0.032853
5,15,5.0,0.11902,0.030739
10,15,5.0,0.111605,0.030719
15,15,5.0,0.102943,0.031492
